传奇名称,底材名称,传奇来源,判定依据,Wiki匹配,Wiki查询URL,校验日期
Voidforge,Infernal Sword,BOSS掉落,Drops from Uber Uber Elder.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Voidforge,2026-09-03
Original Sin,Amethyst Ring,BOSS掉落,"Drops from Lycia, Herald of the Scourge when 16x16px|link=|alt=The Original Scripture The Original Scripture Papyrus Relic Requires Level 64 The Herald of the Scourge drops the Original Sin Cannot have Inspiration Maximum Resolve is 1 Cannot be used with Forbidden Tomes below level 83 This item is destroyed when applied to a Sanctum Unmodifiable ""It's all here. The lie at the core of my faith. Maxarius was not the first chosen of Innocence. Maxarius was Innocence himself. ...",传奇名+底材精确匹配,https://www.poewiki.net/wiki/Original_Sin,2026-09-03
Starforge,Infernal Sword,BOSS掉落,Drops from Uber Shaper.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Starforge,2026-09-03
Mageblood,Heavy Belt,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Mageblood,2026-09-03
Headhunter,Leather Belt,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Headhunter,2026-09-03
Defiance of Destiny,Paua Amulet,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Defiance_of_Destiny,2026-09-03
Reefbane,Fishing Rod,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Reefbane,2026-09-03
Stasis Prison,Carnal Armour,其它掉落,"Can ""very rarely"" be obtained inside the Domain of Timeless Conflict as a vestigial unique item from an enshrouded unique body armour.",传奇名+底材精确匹配,https://www.poewiki.net/wiki/Stasis_Prison,2026-09-03
Replica Shroud of the Lightless,Carnal Armour,其它掉落,Replicas can be obtained from Curio Displays in the final reward rooms of any Grand Heist.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Replica_Shroud_of_the_Lightless,2026-09-03
Rakiata's Dance,Engraved Greatsword,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Rakiata's_Dance,2026-09-03
The Squire,Elegant Round Shield,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/The_Squire,2026-09-03
Echoforge,Infernal Sword,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Echoforge,2026-09-03
Replica Kongor's Undying Rage,Terror Maul,其它掉落,Replicas can be obtained from Curio Displays in the final reward rooms of any Grand Heist.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Replica_Kongor's_Undying_Rage,2026-09-03
Essentia Sanguis,Vaal Claw,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Essentia_Sanguis,2026-09-03
Kingmaker,Despot Axe,其它掉落,Kingmaker is a vendor recipe item.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Kingmaker,2026-09-03
Jiquani's Potential,Imperial Staff,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Jiquani's_Potential,2026-09-03
Lioneye's Glare,Imperial Bow,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Lioneye's_Glare,2026-09-03
Divinarius,Imperial Skean,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Divinarius,2026-09-03
Soul Taker,Siege Axe,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Soul_Taker,2026-09-03
Replica Duskdawn,Maelström Staff,其它掉落,Replicas can be obtained from Curio Displays in the final reward rooms of any Grand Heist.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Replica_Duskdawn,2026-09-03
Voltaxic Rift,Spine Bow,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Voltaxic_Rift,2026-09-03
Atziri's Disfavour,Vaal Axe,BOSS掉落,Only drops from Uber Atziri.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Atziri's_Disfavour,2026-09-03
Varunastra,Vaal Blade,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Varunastra,2026-09-03
The Saviour,Legion Sword,BOSS掉落,Drops from Uber Sirus.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/The_Saviour,2026-09-03
Bloodseeker,Hellion's Paw,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Bloodseeker,2026-09-03
Replica Tukohama's Fortress,Ebony Tower Shield,其它掉落,Replicas can be obtained from Curio Displays in the final reward rooms of any Grand Heist.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Replica_Tukohama's_Fortress,2026-09-03
Bino's Kitchen Knife,Slaughter Knife,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Bino's_Kitchen_Knife,2026-09-03
Marohi Erqi,Karui Maul,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Marohi_Erqi,2026-09-03
The Winds of Fate,Foul Staff,BOSS掉落,"Drops from Lycia, Herald of the Scourge when 16x16px|link=|alt=The Second Sacrament The Second Sacrament Candlestick Relic Requires Level 64 The Herald of the Scourge deals 100% more Damage The Herald of the Scourge takes 75% less Damage The Herald of the Scourge drops the Winds of Fate Cannot be used with Forbidden Tomes below level 83 This item is destroyed when applied to a Sanctum Unmodifiable ""He took many of his people's traditions and gilded them, hollowed them. The...",传奇名+底材精确匹配,https://www.poewiki.net/wiki/The_Winds_of_Fate,2026-09-03
Soul Ascension,Carnal Mitts,BOSS掉落,Drops from Uber Uber Elder.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Soul_Ascension,2026-09-03
Kalandra's Touch,Ring,其它掉落,This item technically cannot be chanced as it is not possible to obtain a non-unique rarity 16x16px|link=|alt=Ring Ring 78x78px|link=|alt=|class=item-icon .,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Kalandra's_Touch,2026-09-03
Hateforge,Ancient Gauntlets,BOSS掉落,Can be obtained as a boss drop from the Trialmaster in an Ultimatum encounter.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Hateforge,2026-09-03
Uul-Netol's Vow,Unset Amulet,BOSS掉落,Can drop from It That Was Tul and It That Was Esh.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Uul-Netol's_Vow,2026-09-03
Nimis,Topaz Ring,BOSS掉落,Drops from Uber Eater.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Nimis,2026-09-03
Replica Headhunter,Leather Belt,其它掉落,Replicas can be obtained from Curio Displays in the final reward rooms of any Grand Heist.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Replica_Headhunter,2026-09-03
Replica Eternity Shroud,Blood Raiment,其它掉落,Replicas can be obtained from the Curio Display in the final reward rooms of any Grand Heist.,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Replica_Eternity_Shroud,2026-09-03
Ephemeral Edge,Dusk Blade,普通掉落,Wiki drop_enabled=1，且无专属来源说明,传奇名+底材精确匹配,https://www.poewiki.net/wiki/Ephemeral_Edge,2026-09-03
Yoke of Suffering,Onyx Amulet,BOSS掉落,"Drops from Nightmare of the Unbreakable in 16x16px|link=|alt=Fortress Map Fortress Map Map Tier: 17 Monster Level: 84 Modifiable only with Chaos Orbs, Vaal Orbs, Delirium Orbs and Chisels Voices. Visions. Violence. They will haunt these grounds for all of eternity. Travel to this Map by using it in a personal Map Device. Maps can only be used once. 78x78px|link=|alt=|class=item-icon .",传奇名+底材精确匹配,https://www.poewiki.net/wiki/Yoke_of_Suffering,2026-09-03
Unholy Accomplice,Cloth Belt,BOSS掉落,"Can drop from Lycia, Herald of the Scourge in the Forbidden Sanctum, Nightmare of Lycia in 16x16px|link=|alt=Sanctuary Map Sanctuary Map Map Tier: 17 Monster Level: 84 Modifiable only with Chaos Orbs, Vaal Orbs, Delirium Orbs and Chisels Voices. Visions. Violence. They will haunt these grounds for all of eternity. Travel to this Map by using it in a personal Map Device. Maps can only be used once. 78x78px|link=|alt=|class=item-icon , or from Beyond bosses.",传奇名+底材精确匹配,https://www.poewiki.net/wiki/Unholy_Accomplice,2026-09-03
